name,budget,placeType,travelers,duration,description,latitude,longitude
Nice Coast,3896,Beach,Family,4,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",-30.8719,30.3733
Angkor Wat 3,2938,Historical,Couple,6,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",13.4266,103.8281
Kashmir Valley,1812,Mountains,Solo,8,A mountain retreat with fresh air and adventure activities. Good for independent travel.,25.2288,55.2691
Teotihuacan,2750,Historical,Couple,4,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",19.6874,-98.921
Phuket,5145,Beach,Friends,3,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,7.9451,98.3917
Sikkim,2040,Mountains,Family,4,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",27.5848,88.4689
Berlin,3723,City,Friends,10,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",52.4841,13.3573
New Zealand,2412,Nature,Family,3,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",-41.5358,172.823
Uganda,1814,Nature,Couple,6,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,1.5416,32.2002
Alps Village,1816,Mountains,Solo,4,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",33.9824,-83.3651
Munnar,1346,Nature,Solo,11,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",10.0593,77.0297
Dubai Coast 6,2403,Beach,Couple,4,"Ideal for swimming, resorts and coastal relaxation. Great for romantic trips.",25.2454,55.2648
London North,2728,City,Solo,12,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",51.5248,-0.1648
Vienna 8,1533,City,Friends,11,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",48.2053,16.4062
Kashmir Valley,3447,Mountains,Couple,3,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",25.2966,55.3324
Kyoto,1871,Historical,Friends,7,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",35.0483,135.7937
Tulum,3977,Beach,Family,9,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",20.4542,-87.6505
Rome East,2546,Historical,Solo,2,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",41.9386,12.5077
Scotland Highlands,2780,Mountains,Couple,3,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",57.3781,-4.2885
Los Angeles,2982,City,Family,9,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,34.0562,-118.2238
Zanzibar,4951,Beach,Couple,9,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,-6.1358,39.3491
Bhutan,2823,Nature,Friends,8,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,27.5443,90.4679
Chicago,1268,City,Friends,11,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,41.919,-87.5766
Dublin 2,1521,City,Friends,6,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",53.3346,-6.2868
Pantanal,2524,Nature,Family,3,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,-17.649,-57.4341
San Francisco,3506,City,Couple,4,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",37.7678,-122.3649
Galapagos 5,1301,Nature,Friends,6,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,40.6638,-3.3221
Andes Central,1065,Mountains,Family,2,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",5.6998,-75.8792
Banff,2948,Mountains,Family,2,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",51.1714,-115.5735
Swiss Alps East,2468,Mountains,Couple,8,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,46.7026,8.7836
Angkor Wat 4,1310,Historical,Couple,5,A destination full of ancient sites and local history. Great for romantic trips.,13.457,103.8767
Andes,1881,Mountains,Couple,4,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",5.6162,-75.8329
London,3494,City,Friends,8,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,51.5088,-0.1343
Hampi 7,1336,Historical,Friends,5,A destination full of ancient sites and local history. Fun for group travel and activities.,15.3025,76.4381
Ephesus 1,1361,Historical,Couple,5,A destination full of ancient sites and local history. Great for romantic trips.,37.9022,27.3142
Hawaii 1,4365,Beach,Family,8,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",19.5495,-155.4267
Manali Central,1027,Mountains,Friends,4,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",32.1978,77.1996
Sydney 9,1804,City,Solo,9,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",-33.8892,151.2114
Iceland 8,2691,Nature,Family,3,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",65.007,-18.1219
Tanzania,1945,Nature,Friends,7,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,-6.507,35.7891
Uganda 3,751,Nature,Family,10,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",1.5547,32.2362
Austria Alps 3,1874,Mountains,Solo,9,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",47.2366,13.5356
Mount Fuji,3222,Mountains,Couple,6,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",35.3678,138.6862
Budapest,3223,City,Couple,4,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",47.4479,19.1249
Langkawi,5320,Beach,Couple,3,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,6.3384,99.7835
Langkawi,4138,Beach,Friends,6,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,6.342,99.7763
Banff South,1175,Mountains,Family,2,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,51.1585,-115.5953
Sikkim,2255,Mountains,Couple,8,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",27.6155,88.4897
Rome,2438,Historical,Family,5,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",41.9323,12.4714
Madagascar,3000,Nature,Friends,7,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",-18.9146,46.4607
Queenstown 4,2588,Mountains,Friends,5,A mountain retreat with fresh air and adventure activities. Fun for group travel and activities.,-45.0082,168.6864
Sri Lanka Coast,1069,Beach,Solo,4,A scenic beach getaway with water sports and sunsets. Good for independent travel.,5.925,80.4743
Kuala Lumpur,2239,City,Friends,5,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",3.1167,101.7337
Budapest,1032,City,Solo,11,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",47.4864,19.1644
Amazon Rainforest,3188,Nature,Friends,12,"Ideal for eco-tourism, adventure and open spaces. Fun for group travel and activities.",-5.4322,-74.3517
Alps Village,3316,Mountains,Solo,9,A mountain retreat with fresh air and adventure activities. Good for independent travel.,33.9581,-83.3753
Phuket,1511,Beach,Family,9,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",7.9775,98.3687
Himachal Hills,984,Mountains,Friends,9,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",0.0,0.0
Kyoto 4,2814,Historical,Couple,8,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",34.9755,135.7964
Zurich,3730,City,Friends,6,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",47.4055,8.5001
Canada Wilderness,576,Nature,Friends,10,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,51.1967,-115.5704
Istanbul Old Town 1,1950,Historical,Couple,5,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",50.0921,19.9875
Bukhara,2254,Historical,Friends,8,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",39.7511,64.3782
Bukhara,2923,Historical,Solo,6,A destination full of ancient sites and local history. Good for independent travel.,39.7338,64.3778
Hong Kong East,2296,City,Solo,10,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",22.3259,114.1192
Santorini,4147,Beach,Solo,6,A scenic beach getaway with water sports and sunsets. Good for independent travel.,36.4164,25.4835
Sikkim,3291,Mountains,Solo,9,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",27.6066,88.4941
Chicago,2803,City,Couple,8,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",41.9034,-87.6278
Andaman Islands,651,Nature,Solo,8,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",12.5939,92.881
Singapore,3577,City,Friends,10,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",1.3788,103.7714
Langkawi,4860,Beach,Solo,3,A relaxing escape with clear waters and sunny beaches. Good for independent travel.,6.3527,99.8148
Copenhagen 3,1198,City,Family,9,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",55.7341,12.6169
New York,3237,City,Friends,11,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",40.6815,-74.0047
Nepal Himalayas,1194,Mountains,Family,4,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",27.939,86.9486
Sri Lanka Coast,1989,Beach,Solo,7,A scenic beach getaway with water sports and sunsets. Good for independent travel.,5.9381,80.4796
Kodaikanal,2496,Mountains,Couple,5,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",10.2525,77.5176
Pantanal,564,Nature,Couple,10,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",-17.6252,-57.4218
Madrid,2504,City,Family,9,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,40.41,-3.6859
Ooty Hills 1,2387,Mountains,Friends,5,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",11.369,76.6668
Jaipur 1,1833,Historical,Solo,4,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",26.9418,75.8353
Goa,3964,Beach,Solo,6,A relaxing escape with clear waters and sunny beaches. Good for independent travel.,15.3354,74.0789
Goa,4886,Beach,Couple,10,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,15.2872,74.0961
Patagonia,2480,Mountains,Couple,6,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",31.5821,-110.7573
Zurich,1447,City,Couple,2,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",47.3861,8.5007
Gold Coast,4432,Beach,Family,6,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",-28.05,153.4372
Goa,4379,Beach,Couple,6,"Ideal for swimming, resorts and coastal relaxation. Great for romantic trips.",15.2801,74.0665
Sikkim Nature,2285,Nature,Solo,5,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",27.3396,88.5759
Gulmarg,1495,Mountains,Friends,7,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",34.008,74.4376
Madrid North,1949,City,Solo,4,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",40.3844,-3.7478
Sri Lanka Coast 3,3417,Beach,Couple,5,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,5.9837,80.4993
Phuket South,5274,Beach,Friends,10,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",7.9549,98.3832
Chicago South,3815,City,Friends,5,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,41.8389,-87.613
Nice Coast,5699,Beach,Couple,3,"Ideal for swimming, resorts and coastal relaxation. Great for romantic trips.",-30.7983,30.3886
Iceland West,2675,Nature,Friends,9,"Ideal for eco-tourism, adventure and open spaces. Fun for group travel and activities.",64.988,-18.0894
Phuket,4331,Beach,Solo,6,A relaxing escape with clear waters and sunny beaches. Good for independent travel.,7.8986,98.3259
Paris 8,3540,City,Friends,6,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,48.8741,2.3653
Costa Rica,2399,Nature,Friends,5,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,10.2943,-84.1131
Rome,2176,Historical,Solo,7,A destination full of ancient sites and local history. Good for independent travel.,41.8735,12.4402
Istanbul Old Town 1,931,Historical,Couple,6,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",50.093,19.9822
Banff,2268,Mountains,Solo,7,A mountain retreat with fresh air and adventure activities. Good for independent travel.,51.1909,-115.5409
Zanzibar,5593,Beach,Solo,6,A scenic beach getaway with water sports and sunsets. Good for independent travel.,-6.1426,39.3352
Hong Kong,3820,City,Friends,11,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",22.3177,114.1753
Ooty Hills,1835,Mountains,Friends,2,A mountain retreat with fresh air and adventure activities. Fun for group travel and activities.,11.4449,76.7255
Samarkand,2525,Historical,Solo,7,A destination full of ancient sites and local history. Good for independent travel.,39.6965,66.9911
Madagascar North,1271,Nature,Solo,10,"A nature-rich trip with forests, wildlife and calm landscapes. Good for independent travel.",-18.948,46.4852
Aspen North,1374,Mountains,Solo,6,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",39.146,-106.8571
Hawaii Central,3401,Beach,Solo,9,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",19.6348,-155.4157
Hampi,1794,Historical,Solo,3,"Ideal for museums, architecture and timeless charm. Good for independent travel.",15.3428,76.4173
Andes 9,3385,Mountains,Family,7,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,5.685,-75.9272
Teotihuacan East,1855,Historical,Couple,3,A destination full of ancient sites and local history. Great for romantic trips.,19.7339,-98.8918
Banff 3,2146,Mountains,Couple,6,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",51.1796,-115.5851
Uganda,1218,Nature,Couple,5,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",1.5345,32.2138
Queenstown,2505,Mountains,Couple,6,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",-45.0674,168.627
Kuala Lumpur 8,2208,City,Family,4,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",3.1805,101.7147
Uganda West,602,Nature,Solo,9,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",1.5327,32.1889
Maldives 3,3421,Beach,Family,10,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,3.7233,73.2101
Varanasi,2561,Historical,Solo,2,A destination full of ancient sites and local history. Good for independent travel.,25.3797,82.9603
Amsterdam,2626,City,Couple,7,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,52.3733,4.8463
Nice Coast 2,3276,Beach,Couple,6,"Ideal for swimming, resorts and coastal relaxation. Great for romantic trips.",-30.8549,30.399
Sydney,1596,City,Friends,9,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,-33.8775,151.2309
Nepal Himalayas,2451,Mountains,Couple,7,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,27.976,86.8714
Scotland Highlands South,2525,Mountains,Family,3,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,57.2878,-4.2638
Himachal Hills,2396,Mountains,Friends,4,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",0.0,0.0
Sikkim North,970,Mountains,Family,8,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",27.6333,88.4292
Andes,2976,Mountains,Couple,9,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",5.6275,-75.8641
Teotihuacan East,772,Historical,Friends,8,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",19.6838,-98.9122
Jerusalem East,610,Historical,Solo,3,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",31.8228,35.2249
Andes,2714,Mountains,Couple,5,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,5.6876,-75.9101
Budapest,3180,City,Family,9,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,47.5292,19.1688
Kyoto,2699,Historical,Family,7,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",35.016,135.8133
Iceland,1809,Nature,Couple,10,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",65.0289,-18.1268
Scotland Highlands,3306,Mountains,Friends,7,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",57.3189,-4.259
Sydney 2,3939,City,Couple,12,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",-33.8702,151.1931
Tanzania 2,1733,Nature,Family,7,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,-6.4962,35.7755
Gulmarg East,1260,Mountains,Solo,6,A mountain retreat with fresh air and adventure activities. Good for independent travel.,34.0629,74.3532
Goa 9,2266,Beach,Couple,6,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,15.3373,74.0896
Munnar,2209,Nature,Solo,10,"A nature-rich trip with forests, wildlife and calm landscapes. Good for independent travel.",10.111,77.0547
Ephesus,2085,Historical,Family,3,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",37.9821,27.297
Swiss Alps,1610,Mountains,Solo,4,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",46.6151,8.7728
Maui North,4480,Beach,Solo,4,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",20.8114,-156.2807
Singapore Central,934,City,Solo,12,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",1.3429,103.86
Banff 2,1935,Mountains,Solo,2,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",51.1487,-115.5299
Kenya Safari,1939,Nature,Couple,3,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,-1.8066,36.8244
Scotland Highlands,2750,Mountains,Couple,5,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",57.3195,-4.2307
Sydney 3,3731,City,Couple,5,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",-33.8716,151.2106
Zurich East,2865,City,Couple,9,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,47.4063,8.5126
Dubai,2354,City,Family,8,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",25.1069,55.2086
San Francisco,1306,City,Family,9,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",37.8179,-122.4553
Patagonia West,1036,Mountains,Solo,7,A mountain retreat with fresh air and adventure activities. Good for independent travel.,31.5278,-110.7132
Jaipur,2418,Historical,Family,3,A destination full of ancient sites and local history. Comfortable for family travel.,26.9632,75.8348
Phuket,4010,Beach,Friends,5,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",7.9385,98.3782
Samarkand 7,1088,Historical,Solo,3,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",39.6348,66.9512
Phuket,2630,Beach,Family,8,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,7.9748,98.355
Bukhara,2983,Historical,Family,6,A destination full of ancient sites and local history. Comfortable for family travel.,39.7563,64.4241
Pantanal,2594,Nature,Friends,7,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",-17.6704,-57.4188
Sikkim,1645,Mountains,Friends,4,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",27.5655,88.4663
Rome,2167,Historical,Couple,6,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",41.9325,12.4484
Kerala,2629,Nature,Solo,10,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,10.3036,76.5224
Bukhara,2821,Historical,Family,4,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",39.7826,64.4252
Kyoto West,2443,Historical,Friends,4,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",35.0406,135.8106
Dubai,3692,City,Family,4,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",25.0924,55.2022
Bukhara 9,2930,Historical,Solo,7,"Ideal for museums, architecture and timeless charm. Good for independent travel.",39.7395,64.3984
Bukhara West,2675,Historical,Couple,2,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",39.7853,64.4565
Jaipur 1,1765,Historical,Family,4,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",26.9198,75.8366
Mauritius,5783,Beach,Family,3,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",-20.2266,57.5612
Scotland Highlands,2138,Mountains,Friends,2,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",57.3225,-4.2219
Queenstown,968,Mountains,Solo,6,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",-45.0161,168.6151
Tanzania Central,2387,Nature,Solo,9,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",-6.5506,35.8341
Madrid 7,3208,City,Friends,2,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",40.4362,-3.7041
Queenstown South,2700,Mountains,Solo,3,"Perfect for trekking, snow views and peaceful stays. Good for independent travel.",-45.0453,168.6327
Himachal Hills,2188,Mountains,Family,8,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",0.0,0.0
Dubai Coast,1389,Beach,Family,7,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,25.2623,55.2728
Madrid 2,3224,City,Solo,7,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,40.4206,-3.74
Luxor 5,2022,Historical,Couple,8,A destination full of ancient sites and local history. Great for romantic trips.,25.6565,32.6758
Angkor Wat 5,1419,Historical,Family,5,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",13.4086,103.8204
Angkor Wat 3,676,Historical,Couple,7,A destination full of ancient sites and local history. Great for romantic trips.,13.3856,103.8299
Gold Coast 1,5364,Beach,Family,9,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,-28.0112,153.3892
Alps Village East,1684,Mountains,Couple,4,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,33.9539,-83.4276
Hong Kong,2489,City,Couple,6,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,22.2655,114.1725
Sri Lanka Rainforest,1476,Nature,Friends,4,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",6.4088,80.5425
Alps Village,2993,Mountains,Friends,8,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",33.9356,-83.4385
Gulmarg,1758,Mountains,Solo,6,"Perfect for trekking, snow views and peaceful stays. Good for independent travel.",34.0934,74.4087
Rome,943,Historical,Solo,4,A destination full of ancient sites and local history. Good for independent travel.,41.8759,12.4493
Aspen,1275,Mountains,Friends,5,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",39.1584,-106.7839
Coorg,2533,Nature,Family,4,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",12.4066,75.6847
Pantanal,2232,Nature,Couple,6,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",-17.6592,-57.4359
Alps Village,1741,Mountains,Friends,2,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",33.9067,-83.4471
Istanbul,2745,City,Friends,12,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",41.0525,28.9383
Ephesus,686,Historical,Family,7,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",37.9464,27.3779
Cancun,3533,Beach,Friends,8,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",21.1722,-86.855
Rome,1646,Historical,Friends,4,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",41.8819,12.4365
Gold Coast East,4328,Beach,Family,3,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",-28.0312,153.3737
Varanasi 5,1011,Historical,Friends,8,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",25.3285,82.9861
Andes North,2556,Mountains,Family,2,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",5.6173,-75.8537
Maldives,2639,Beach,Friends,7,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,3.7692,73.2004
Hawaii East,5866,Beach,Couple,9,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,19.6191,-155.4272
Cancun,5858,Beach,Couple,8,"Ideal for swimming, resorts and coastal relaxation. Great for romantic trips.",21.1509,-86.833
Himachal Hills 1,2245,Mountains,Friends,5,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",0.0,0.0
Sri Lanka Rainforest,2394,Nature,Solo,6,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",6.4352,80.4602
Bhutan 3,1111,Nature,Family,4,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",27.5179,90.5385
Madrid,3967,City,Friends,9,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,40.4112,-3.6696
Seychelles West,3358,Beach,Family,10,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,-4.6487,55.4508
Kenya Safari,1275,Nature,Family,9,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",-1.8315,36.7738
Mount Fuji 6,3230,Mountains,Couple,9,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",35.3644,138.7766
Cairo,2520,Historical,Solo,3,"Ideal for museums, architecture and timeless charm. Good for independent travel.",30.0786,31.2152
Luxor,899,Historical,Family,2,A destination full of ancient sites and local history. Comfortable for family travel.,25.6602,32.6029
Langkawi 5,5967,Beach,Family,3,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,6.3296,99.7623
Teotihuacan 1,2119,Historical,Friends,3,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",19.7248,-98.8841
Himachal Hills,2089,Mountains,Friends,9,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",0.0,0.0
Bhutan,1566,Nature,Couple,4,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",27.5443,90.5555
Scotland Highlands 5,1858,Mountains,Friends,6,A mountain retreat with fresh air and adventure activities. Fun for group travel and activities.,57.3085,-4.2082
Machu Picchu South,2612,Historical,Family,8,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",-13.1587,-72.5046
Maui,2883,Beach,Solo,5,A relaxing escape with clear waters and sunny beaches. Good for independent travel.,20.7987,-156.2922
Luxor 6,2627,Historical,Solo,2,A destination full of ancient sites and local history. Good for independent travel.,25.7275,32.6799
Bukhara,1206,Historical,Solo,2,A destination full of ancient sites and local history. Good for independent travel.,39.7532,64.3771
Santorini 1,5614,Beach,Family,6,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,36.4308,25.4975
Miami Beach,3016,Beach,Solo,10,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",25.7848,-80.1748
Amsterdam,3218,City,Family,3,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",52.3512,4.9089
Bukhara,1703,Historical,Friends,6,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",39.8164,64.4118
Andaman Islands,2831,Nature,Family,5,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",12.5858,92.7925
Chicago West,3041,City,Solo,11,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",41.8355,-87.6303
Bora Bora South,1730,Beach,Friends,3,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",-16.5318,-151.7424
Gulmarg 5,1922,Mountains,Solo,9,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",34.0739,74.4049
Manali West,2799,Mountains,Family,5,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,32.2064,77.2208
Queenstown East,1069,Mountains,Friends,8,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",-45.0028,168.6746
Cairo,2702,Historical,Solo,4,A destination full of ancient sites and local history. Good for independent travel.,30.0008,31.2512
Coorg West,1690,Nature,Solo,10,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",12.4123,75.68
Maui 1,3036,Beach,Family,9,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,20.7784,-156.2626
Sydney West,2891,City,Solo,8,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,-33.8843,151.2486
Canada Wilderness,1543,Nature,Family,12,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",51.18,-115.6196
Machu Picchu,2209,Historical,Couple,2,A destination full of ancient sites and local history. Great for romantic trips.,-13.1268,-72.5247
